Client,Best_Offer,Expected_Revenue
909,CL,2.0428004
699,CL,2.8950174
528,CL,3.0293136
1145,MF,1.2333275
517,CL,1.0212237
1475,CC,0.91454685
175,CL,2.110859
1134,CL,1.5279078
1218,CC,1.0663737
7,CL,2.48503
817,CL,1.7404683
994,CL,0.88060343
3,CL,1.8010051
654,CL,2.2900956
54,CL,2.8384197
1445,MF,1.0448226
1098,CL,1.858631
97,CC,1.6599867
1201,CC,0.7673846
18,CC,1.0253009
273,CC,1.0400039
63,CL,0.83988744
688,MF,0.7253775
1520,CL,1.0023674
109,CC,2.135397
357,CL,1.2330339
1289,CL,4.9565263
668,CL,3.510239
1380,CL,1.6268765
1331,CL,1.2111698
135,CL,1.1530799
332,CC,0.992583
1076,CC,2.468544
976,CL,1.4150984
1063,CL,5.853365
1037,CC,0.8808529
427,CL,1.6130216
1004,CC,1.0905226
707,CL,1.5722482
1127,CC,1.5276705
1550,CC,1.7728245
1088,MF,1.0250325
1186,CL,3.036024
891,CL,1.9474272
889,CL,2.7101982
1578,CL,1.4849364
240,CL,2.7337844
1288,CL,1.2353872
1458,CL,3.8572388
375,CC,1.7475215
1440,MF,1.257027
1447,CC,1.5874982
19,CC,2.8422828
797,CC,1.9691036
787,CL,1.2641052
10,MF,0.93521535
1611,CL,2.206749
293,CL,1.761442
959,MF,0.8443122
1489,CL,0.8566823
1405,CC,1.0687735
154,CL,2.3608532
460,CL,3.879255
217,CL,4.579154
9,CL,2.4405124
4,CL,4.013369
150,CL,2.4032025
834,CC,1.6748601
633,CC,2.2551694
70,CL,1.6356375
894,MF,0.70606685
126,CL,3.9476566
1516,CL,2.2958264
476,CC,1.7738575
570,CC,1.2795634
369,MF,0.63321054
133,CL,1.2151031
468,CC,1.0787493
1227,CL,3.5970223
1393,CL,2.486902
1086,CL,1.6730597
1028,CL,0.79336584
816,CC,1.384832
852,CL,3.152394
199,CL,1.8480818
125,CL,2.575984
1250,CC,1.2516066
929,CL,1.2981352
791,CC,1.5200356
382,CC,2.7645335
84,CC,2.4568691
51,MF,1.4414674
473,CC,0.83807486
342,CL,3.847229
690,MF,1.0847809
1599,CL,3.933447
1390,CC,1.4142578
1139,CC,1.5088534
1606,MF,0.76085156
61,CL,4.948819
1074,CL,1.4573039
1357,CL,1.461483
474,CL,1.9559944
1414,CC,1.7301407
1374,CC,1.2921143
1339,CC,1.431299
1156,CL,1.1860886
94,CL,1.9089115
957,MF,0.7368542
1172,CL,1.4076247
471,CL,1.1252435
25,CL,1.505358
933,CL,1.2177377
266,MF,0.88036615
1031,CL,2.869526
1051,CL,3.1426516
647,MF,0.79467446
659,CL,2.8297741
1503,CC,1.9314586
656,CC,0.8683941
1410,CC,1.8975024
59,CL,0.94512963
701,CL,3.287265
1430,CC,1.4742656
1095,CL,2.4024477
381,CL,2.1245604
121,CC,2.0476365
